transaction_id,user_name,age,country,product_category,purchase_amount,payment_method,transaction_date
26737,Oliver Allen,43,Japan,Clothing,896.5,Net Banking,2023-03-09
32429,Liam Rodriguez,65,Australia,Beauty,547.42,UPI,2023-03-09
31548,James Allen,26,Australia,Toys,136.03,Cash on Delivery,2023-03-09
16760,Noah Harris,42,Mexico,Clothing,941.08,Net Banking,2023-03-09
31242,Noah Walker,60,Mexico,Toys,617.6,Net Banking,2023-03-09
34198,Sophia Clark,67,France,Clothing,147.87,Debit Card,2023-03-09
31165,Isabella Clark,44,Canada,Books,823.03,Credit Card,2023-03-09
19099,Ava Hall,70,Australia,Electronics,113.23,Net Banking,2023-03-09
6137,Oliver Walker,66,Mexico,Beauty,402.48,UPI,2023-03-09
30122,Sophia Thompson,27,Canada,Sports,661.52,PayPal,2023-03-09
557,Isabella Lewis,34,USA,Home & Kitchen,575.04,Debit Card,2023-03-09
15489,Elijah Thompson,48,Japan,Books,361.19,Credit Card,2023-03-09
40395,Sophia White,47,Germany,Books,463.79,Debit Card,2023-03-09
12891,Emma Anderson,60,Germany,Grocery,801.33,Credit Card,2023-03-09
21536,Oliver Clark,31,Australia,Sports,19.7,UPI,2023-03-09
46348,Isabella Thompson,38,USA,Toys,90.25,Net Banking,2023-03-09
3426,Ava Anderson,32,Brazil,Toys,944.5,Cash on Delivery,2023-03-09
21688,James White,68,Brazil,Electronics,575.64,PayPal,2023-03-09
15015,Olivia Allen,37,Brazil,Toys,904.57,UPI,2023-03-09
2153,James Anderson,59,USA,Toys,936.11,Cash on Delivery,2023-03-09
21072,Elijah Thompson,37,Mexico,Books,834.19,Cash on Delivery,2023-03-09
24052,Olivia Clark,69,France,Books,305.76,Debit Card,2023-03-09
14964,Ava Clark,70,Australia,Clothing,628.81,Cash on Delivery,2023-03-09
34632,James Allen,36,USA,Toys,839.41,UPI,2023-03-09
44552,Sophia Harris,55,USA,Toys,332.14,Debit Card,2023-03-09
23679,Noah Harris,64,Brazil,Beauty,644.74,UPI,2023-03-09
8190,Oliver Walker,41,UK,Home & Kitchen,358.32,Debit Card,2023-03-09
44973,Elijah Rodriguez,20,Australia,Home & Kitchen,896.98,Cash on Delivery,2023-03-09
45423,Liam Lewis,52,Brazil,Electronics,255.69,UPI,2023-03-09
49951,Emma Thompson,34,UK,Books,278.1,Debit Card,2023-03-09
15188,Sophia Allen,32,France,Beauty,372.05,Credit Card,2023-03-09
35308,Oliver Walker,68,Japan,Grocery,589.33,Net Banking,2023-03-09
46594,Emma White,21,Japan,Clothing,796.24,Credit Card,2023-03-09
3809,Ava White,47,UK,Clothing,282.85,PayPal,2023-03-09
14291,James Walker,51,Australia,Home & Kitchen,207.58,PayPal,2023-03-10
36537,Sophia Hall,23,Brazil,Electronics,187.75,UPI,2023-03-10
32595,Elijah White,32,Japan,Beauty,70.32,Net Banking,2023-03-10
14189,Noah Walker,52,UK,Electronics,804.08,Debit Card,2023-03-10
6935,James Walker,45,India,Beauty,837.67,Cash on Delivery,2023-03-10
17008,Oliver Walker,66,USA,Sports,343.84,UPI,2023-03-10
11908,Ava Walker,45,Canada,Clothing,416.12,UPI,2023-03-10
31562,Oliver Thompson,34,Mexico,Home & Kitchen,532.48,PayPal,2023-03-10
23575,Emma Allen,44,France,Toys,153.43,Net Banking,2023-03-10
31528,Ava Allen,34,Australia,Beauty,86.13,Cash on Delivery,2023-03-10
41902,Ava Allen,40,Australia,Grocery,496.31,PayPal,2023-03-10
16733,Emma Lewis,32,Japan,Clothing,860.25,Credit Card,2023-03-10
44605,Elijah Anderson,25,Australia,Clothing,235.95,Net Banking,2023-03-10
45824,Emma Clark,45,Germany,Sports,934.5,Credit Card,2023-03-10
32141,Elijah Thompson,39,France,Grocery,317.68,PayPal,2023-03-10
32682,Elijah Allen,34,Germany,Toys,643.88,Credit Card,2023-03-10
36424,Liam Hall,37,Canada,Home & Kitchen,28.99,Debit Card,2023-03-10
7732,Isabella Anderson,57,USA,Electronics,615.94,Net Banking,2023-03-10
33641,Ava Thompson,70,Japan,Toys,227.14,UPI,2023-03-10
17186,Emma Hall,18,Australia,Books,238.42,PayPal,2023-03-10
33538,Oliver Allen,53,Mexico,Home & Kitchen,831.07,Cash on Delivery,2023-03-10
49554,Noah White,30,Brazil,Electronics,605.01,Cash on Delivery,2023-03-10
42097,Sophia White,24,France,Clothing,880.17,PayPal,2023-03-10
42559,Ava Lewis,53,UK,Electronics,435.86,Net Banking,2023-03-10
259,Isabella Allen,30,UK,Sports,263.76,UPI,2023-03-10
22954,Isabella Harris,63,Mexico,Toys,93.54,PayPal,2023-03-10
18130,Elijah Allen,66,Canada,Grocery,77.19,Debit Card,2023-03-10
45250,Olivia Thompson,68,Mexico,Toys,58.26,Debit Card,2023-03-10
45656,Isabella Lewis,46,USA,Home & Kitchen,751.23,Debit Card,2023-03-10
20909,James Harris,66,Canada,Books,227.26,Net Banking,2023-03-10
2750,Ava Anderson,44,Canada,Grocery,795.39,PayPal,2023-03-10
45374,Isabella Lewis,68,India,Home & Kitchen,535.32,PayPal,2023-03-10
12955,Ava Clark,36,Australia,Beauty,539.22,UPI,2023-03-10
38325,Elijah Hall,64,Brazil,Clothing,191.0,PayPal,2023-03-10
1423,Olivia Hall,27,France,Beauty,55.09,UPI,2023-03-10
40615,Noah Clark,69,Brazil,Clothing,820.82,Debit Card,2023-03-10
12036,Sophia Anderson,47,India,Home & Kitchen,398.12,Cash on Delivery,2023-03-10
153,Liam Lewis,57,Brazil,Home & Kitchen,513.69,Credit Card,2023-03-10
28184,Liam Thompson,65,Brazil,Sports,436.45,UPI,2023-03-10
28295,Elijah Rodriguez,45,Canada,Clothing,553.72,Credit Card,2023-03-10
47756,Sophia Thompson,21,Mexico,Electronics,636.76,UPI,2023-03-10
21467,Liam Allen,61,Canada,Grocery,798.93,Net Banking,2023-03-10
27540,Noah Harris,66,Australia,Sports,486.9,Net Banking,2023-03-10
5351,James Clark,40,Brazil,Clothing,823.97,Credit Card,2023-03-10
43419,Sophia Anderson,52,Canada,Beauty,78.5,PayPal,2023-03-10
39874,Isabella Lewis,30,USA,Sports,91.64,Debit Card,2023-03-10
24901,Oliver Thompson,57,Japan,Electronics,44.21,Debit Card,2023-03-10
43641,Noah Rodriguez,33,France,Sports,777.2,UPI,2023-03-10
11312,Noah Clark,29,Japan,Sports,776.0,Credit Card,2023-03-10
27488,Ava Lewis,31,Mexico,Books,826.19,Debit Card,2023-03-10
19818,Ava White,28,UK,Electronics,603.09,Cash on Delivery,2023-03-10
15292,James Allen,25,France,Home & Kitchen,470.34,Credit Card,2023-03-10
14050,Sophia Thompson,68,Canada,Grocery,962.04,Credit Card,2023-03-10
10569,Sophia Thompson,54,India,Books,288.21,Credit Card,2023-03-10
48385,Elijah Lewis,26,Germany,Clothing,887.55,Cash on Delivery,2023-03-10
45978,Olivia Harris,38,Australia,Sports,242.02,UPI,2023-03-10
42886,Isabella Hall,33,Canada,Sports,215.87,Credit Card,2023-03-10
5950,Noah Rodriguez,38,India,Books,588.41,Credit Card,2023-03-10
1632,Sophia Rodriguez,51,Mexico,Books,651.94,Net Banking,2023-03-10
29877,Olivia Rodriguez,29,Japan,Sports,422.98,Net Banking,2023-03-10
26952,Isabella Anderson,59,Germany,Clothing,627.69,Credit Card,2023-03-10
29485,James Rodriguez,39,France,Sports,97.03,Debit Card,2023-03-10
15007,Emma Allen,26,Germany,Grocery,604.24,Net Banking,2023-03-10
41449,Noah Anderson,60,Germany,Grocery,159.41,Credit Card,2023-03-10
48083,Isabella Hall,58,Brazil,Beauty,796.84,Cash on Delivery,2023-03-10
29161,Ava Rodriguez,66,Canada,Sports,951.1,PayPal,2023-03-10
26881,Ava Thompson,62,Japan,Toys,544.16,Debit Card,2023-03-10
3071,Liam Thompson,67,USA,Home & Kitchen,324.54,PayPal,2023-03-10
45483,Liam Allen,19,Canada,Sports,485.63,PayPal,2023-03-10
49954,Liam Thompson,37,Australia,Clothing,407.9,Credit Card,2023-03-10
35160,James White,56,Canada,Electronics,540.73,Debit Card,2023-03-10
34100,Emma Clark,67,USA,Books,682.71,UPI,2023-03-10
34715,Liam Hall,31,India,Books,186.29,PayPal,2023-03-10
8459,James Thompson,50,Brazil,Books,338.74,Credit Card,2023-03-10
49834,Olivia Lewis,30,Japan,Electronics,470.48,UPI,2023-03-10
24815,Liam Clark,29,USA,Home & Kitchen,163.66,Debit Card,2023-03-11
4666,Isabella White,37,Brazil,Clothing,195.38,UPI,2023-03-11
46353,Olivia Walker,51,Canada,Home & Kitchen,183.74,PayPal,2023-03-11
12700,James Anderson,22,Mexico,Home & Kitchen,346.16,UPI,2023-03-11
19971,Elijah Allen,22,India,Electronics,265.87,PayPal,2023-03-11
26308,Sophia Clark,22,USA,Home & Kitchen,6.86,Debit Card,2023-03-11
30439,Noah Thompson,24,Japan,Clothing,348.26,PayPal,2023-03-11
11503,Emma Thompson,19,Canada,Beauty,458.67,UPI,2023-03-11
18280,Elijah Hall,42,France,Home & Kitchen,985.29,Debit Card,2023-03-11
28602,Olivia Anderson,36,Canada,Electronics,129.26,PayPal,2023-03-11
20376,Ava White,62,UK,Grocery,547.53,UPI,2023-03-11
18678,Ava Hall,56,USA,Electronics,59.45,PayPal,2023-03-11
34144,Oliver Clark,53,Canada,Electronics,628.31,Debit Card,2023-03-11
27642,Olivia Harris,62,India,Home & Kitchen,584.11,Net Banking,2023-03-11
8906,James White,28,Mexico,Home & Kitchen,50.81,Debit Card,2023-03-11
31009,Elijah Rodriguez,55,Japan,Grocery,936.79,Credit Card,2023-03-11
29253,Elijah Rodriguez,57,France,Books,329.77,Credit Card,2023-03-11
27188,James Anderson,49,Australia,Home & Kitchen,943.09,Net Banking,2023-03-11
30495,Elijah Anderson,38,Mexico,Sports,694.73,Cash on Delivery,2023-03-11
21808,Sophia Anderson,44,Mexico,Beauty,469.92,Net Banking,2023-03-11
16198,James Rodriguez,18,Japan,Grocery,581.98,Cash on Delivery,2023-03-11
20475,Noah Allen,54,USA,Books,105.4,Credit Card,2023-03-11
30037,James Rodriguez,53,USA,Electronics,434.25,PayPal,2023-03-11
14107,Noah Allen,59,Canada,Books,584.16,Net Banking,2023-03-11
15300,Sophia Walker,47,Germany,Sports,932.98,Net Banking,2023-03-11
23715,Olivia Hall,33,Australia,Books,943.37,PayPal,2023-03-11
44534,James Allen,42,Mexico,Beauty,794.88,Credit Card,2023-03-11
3339,Olivia Lewis,48,UK,Beauty,6.07,Debit Card,2023-03-11
573,Sophia Clark,37,Brazil,Clothing,573.82,Debit Card,2023-03-11
25376,Olivia Allen,41,UK,Books,355.39,PayPal,2023-03-11
45052,Liam Lewis,52,Brazil,Clothing,905.53,Debit Card,2023-03-11
35699,Oliver White,48,USA,Clothing,935.16,Net Banking,2023-03-11
45075,Ava Hall,63,Mexico,Electronics,74.56,Debit Card,2023-03-11
35091,Olivia Allen,49,Australia,Toys,173.07,UPI,2023-03-11
12038,Oliver Thompson,28,Japan,Clothing,538.15,Net Banking,2023-03-11
35718,James White,20,Brazil,Books,402.91,Credit Card,2023-03-11
13342,Sophia Walker,63,USA,Toys,432.32,Cash on Delivery,2023-03-11
41270,Ava Anderson,52,Mexico,Books,222.18,Net Banking,2023-03-11
13385,Elijah Thompson,18,Australia,Sports,295.68,Debit Card,2023-03-11
42106,Liam Harris,52,Australia,Electronics,673.47,Net Banking,2023-03-11
27596,Olivia Rodriguez,54,Japan,Beauty,11.07,Cash on Delivery,2023-03-11
11120,Oliver Anderson,57,Germany,Home & Kitchen,889.36,Debit Card,2023-03-11
29745,Sophia Clark,70,Japan,Sports,692.63,Credit Card,2023-03-11
16763,Ava Thompson,54,Canada,Books,753.2,Cash on Delivery,2023-03-11
7393,Noah Harris,21,Brazil,Home & Kitchen,982.34,PayPal,2023-03-11
15897,James White,53,India,Home & Kitchen,402.8,UPI,2023-03-11
15404,James Clark,35,Germany,Electronics,95.36,Net Banking,2023-03-11
3877,Emma Lewis,20,Brazil,Grocery,79.23,Debit Card,2023-03-11
7828,James Thompson,69,Brazil,Toys,678.87,Debit Card,2023-03-11
44267,Liam Lewis,60,Australia,Sports,811.9,Cash on Delivery,2023-03-11
37084,Sophia Harris,34,USA,Beauty,343.72,Net Banking,2023-03-11
49736,Emma Hall,25,India,Books,253.22,PayPal,2023-03-11
11795,Emma Walker,54,UK,Grocery,673.47,UPI,2023-03-11
38979,Liam Lewis,30,Australia,Clothing,138.79,Cash on Delivery,2023-03-11
41591,Oliver Harris,26,Canada,Clothing,613.24,Debit Card,2023-03-11
15091,Isabella Thompson,36,France,Grocery,733.27,Cash on Delivery,2023-03-11
7457,Elijah Hall,28,Australia,Grocery,583.91,Debit Card,2023-03-11
24324,Liam Harris,58,Germany,Clothing,457.28,Debit Card,2023-03-11
47694,Emma Clark,56,Japan,Sports,364.4,PayPal,2023-03-11
5861,Isabella White,38,USA,Electronics,654.94,PayPal,2023-03-11
36680,Sophia Anderson,30,Germany,Electronics,905.6,UPI,2023-03-11
20885,Liam Clark,65,Mexico,Electronics,196.36,Cash on Delivery,2023-03-11
16966,Sophia Thompson,50,USA,Clothing,265.11,Cash on Delivery,2023-03-11
32056,Ava Lewis,37,Canada,Home & Kitchen,667.16,Credit Card,2023-03-11
22842,Liam Walker,25,USA,Toys,273.64,Credit Card,2023-03-11
38846,Oliver Walker,53,Brazil,Home & Kitchen,306.64,Net Banking,2023-03-11
13894,Isabella Anderson,63,Japan,Beauty,25.31,Credit Card,2023-03-11
12515,James Clark,43,Canada,Home & Kitchen,24.88,Net Banking,2023-03-11
3575,Emma Rodriguez,56,UK,Toys,80.76,Cash on Delivery,2023-03-11
33830,Emma Lewis,25,Germany,Grocery,609.9,Net Banking,2023-03-11
36121,Isabella Lewis,32,France,Clothing,962.76,Credit Card,2023-03-11
13908,Sophia Clark,51,UK,Clothing,846.71,Credit Card,2023-03-11
15647,Olivia Allen,57,Germany,Sports,683.3,Net Banking,2023-03-12
38702,Liam Lewis,45,France,Electronics,883.56,Net Banking,2023-03-12
48342,Liam Anderson,48,UK,Books,38.0,PayPal,2023-03-12
21725,Sophia Hall,35,India,Books,31.19,Net Banking,2023-03-12
269,Sophia White,30,Germany,Toys,835.43,Net Banking,2023-03-12
33208,Emma Allen,58,Brazil,Beauty,853.66,UPI,2023-03-12
18809,Elijah Hall,39,India,Sports,925.36,Cash on Delivery,2023-03-12
7295,Olivia Clark,19,Japan,Books,436.66,Net Banking,2023-03-12
43013,Elijah Clark,22,Germany,Toys,971.57,Credit Card,2023-03-12
7357,Ava Harris,29,UK,Clothing,542.12,Debit Card,2023-03-12
18479,Elijah Walker,51,Australia,Electronics,455.18,UPI,2023-03-12
35657,Noah White,35,Japan,Electronics,224.18,Debit Card,2023-03-12
41882,Elijah Walker,58,Canada,Toys,569.01,Net Banking,2023-03-12
39411,Ava Walker,41,Japan,Beauty,371.36,Net Banking,2023-03-12
47064,Liam Anderson,59,Germany,Home & Kitchen,90.03,PayPal,2023-03-12
44948,Ava Clark,53,Australia,Beauty,870.46,Debit Card,2023-03-12
45826,Noah Harris,63,USA,Grocery,603.88,Debit Card,2023-03-12
29145,Ava Thompson,46,Mexico,Books,382.6,Credit Card,2023-03-12
49396,Elijah Walker,52,Japan,Beauty,393.09,Net Banking,2023-03-12
27078,Isabella Lewis,45,UK,Books,972.93,Cash on Delivery,2023-03-12
8897,Ava Clark,33,Mexico,Beauty,477.96,Debit Card,2023-03-12
31271,Oliver Clark,39,UK,Sports,993.74,Net Banking,2023-03-12
37731,Sophia White,53,Brazil,Beauty,151.57,Net Banking,2023-03-12
9679,Oliver Walker,46,UK,Clothing,106.86,PayPal,2023-03-12
959,Liam Rodriguez,63,Brazil,Toys,214.92,UPI,2023-03-12
29960,Sophia Harris,56,Mexico,Clothing,164.51,Cash on Delivery,2023-03-12
13216,Ava White,22,USA,Grocery,530.68,Cash on Delivery,2023-03-12
38892,Oliver Thompson,27,USA,Sports,826.19,Net Banking,2023-03-12
24598,Emma Hall,49,Brazil,Grocery,733.24,PayPal,2023-03-12
10874,Olivia Clark,38,India,Clothing,331.86,Cash on Delivery,2023-03-12
26975,Oliver Lewis,45,UK,Toys,233.13,UPI,2023-03-12
8285,Isabella Rodriguez,59,USA,Grocery,581.33,PayPal,2023-03-12
29563,Isabella White,30,Germany,Home & Kitchen,565.86,Cash on Delivery,2023-03-12
28150,Isabella Rodriguez,51,Brazil,Home & Kitchen,598.52,Net Banking,2023-03-12
33738,Ava Walker,57,Mexico,Grocery,617.29,PayPal,2023-03-12
45280,Ava Harris,36,India,Home & Kitchen,375.79,PayPal,2023-03-12
42902,Noah Clark,68,USA,Home & Kitchen,625.82,Cash on Delivery,2023-03-12
40059,Liam Thompson,43,Mexico,Toys,119.31,Cash on Delivery,2023-03-12
31746,Noah White,32,France,Toys,768.76,Debit Card,2023-03-12
49106,Noah Clark,21,USA,Books,994.17,Credit Card,2023-03-12
46790,James Hall,21,Germany,Clothing,320.85,Debit Card,2023-03-12
43416,Oliver Lewis,62,UK,Electronics,320.19,PayPal,2023-03-12
25744,Oliver Rodriguez,27,Canada,Electronics,229.54,Credit Card,2023-03-12
22794,Ava Harris,28,Brazil,Home & Kitchen,733.08,Debit Card,2023-03-12
34407,Emma Walker,58,Japan,Home & Kitchen,757.37,UPI,2023-03-12
31530,Oliver Walker,61,UK,Clothing,733.53,Debit Card,2023-03-12
32426,Emma Allen,48,India,Electronics,805.07,Debit Card,2023-03-12
3999,Liam White,44,USA,Toys,314.21,Net Banking,2023-03-12
11634,Liam Lewis,39,France,Books,593.7,Cash on Delivery,2023-03-12
7054,Isabella Anderson,44,Brazil,Grocery,349.76,Credit Card,2023-03-12
787,Oliver White,50,Mexico,Sports,866.23,Net Banking,2023-03-12
24332,Isabella Rodriguez,57,India,Beauty,548.11,Debit Card,2023-03-12
8117,Oliver Anderson,70,Australia,Toys,676.84,Cash on Delivery,2023-03-12
28277,Noah Hall,19,Canada,Beauty,740.49,Debit Card,2023-03-12
32314,Isabella Anderson,63,Australia,Sports,318.35,UPI,2023-03-12
12982,Oliver White,28,India,Clothing,654.06,Credit Card,2023-03-12
11686,James Harris,18,France,Clothing,333.2,Debit Card,2023-03-12
43388,Isabella White,29,UK,Electronics,522.7,Credit Card,2023-03-12
26267,Oliver Lewis,40,USA,Toys,619.95,Cash on Delivery,2023-03-12
3049,Isabella Walker,66,Mexico,Grocery,950.83,Debit Card,2023-03-12
12735,Olivia Lewis,49,USA,Beauty,626.29,Debit Card,2023-03-12
9300,Oliver Thompson,18,USA,Home & Kitchen,389.78,Net Banking,2023-03-12
18672,Liam Lewis,44,UK,Sports,388.35,PayPal,2023-03-12
18523,Liam White,29,France,Books,247.11,Credit Card,2023-03-12
38409,Olivia White,48,Australia,Books,727.99,Debit Card,2023-03-12
1953,James Allen,47,Germany,Beauty,277.69,Debit Card,2023-03-12
46239,Noah Thompson,64,Mexico,Clothing,660.09,Net Banking,2023-03-12
43337,Liam Allen,63,Canada,Sports,227.85,Cash on Delivery,2023-03-12
17669,Olivia White,43,USA,Toys,853.33,UPI,2023-03-12
37233,James Rodriguez,66,India,Clothing,772.38,Credit Card,2023-03-12
19270,Emma Thompson,24,India,Home & Kitchen,173.32,Cash on Delivery,2023-03-12
10496,Emma Anderson,51,UK,Beauty,962.37,Debit Card,2023-03-12
49854,Sophia Thompson,18,India,Grocery,603.71,PayPal,2023-03-12
20369,Olivia Lewis,23,Japan,Electronics,658.04,Debit Card,2023-03-12
538,Sophia Harris,27,Brazil,Beauty,623.14,Cash on Delivery,2023-03-13
32764,Olivia Lewis,38,Canada,Electronics,746.81,UPI,2023-03-13
46980,Sophia Allen,70,Brazil,Beauty,169.99,Debit Card,2023-03-13
38075,Sophia Lewis,60,Japan,Sports,373.68,Debit Card,2023-03-13
21903,Olivia Lewis,60,UK,Books,608.66,Debit Card,2023-03-13
17095,Olivia Walker,24,Mexico,Home & Kitchen,632.68,Debit Card,2023-03-13
31158,Isabella Walker,62,Australia,Electronics,305.36,Debit Card,2023-03-13
22156,Oliver Thompson,54,France,Clothing,335.62,PayPal,2023-03-13
23486,Emma Hall,48,Canada,Books,185.07,Credit Card,2023-03-13
16584,Oliver Anderson,22,France,Books,411.98,Credit Card,2023-03-13
12603,Emma Rodriguez,60,Japan,Clothing,943.27,PayPal,2023-03-13
14236,Liam Clark,63,France,Home & Kitchen,613.67,PayPal,2023-03-13
19051,Emma Clark,55,India,Grocery,465.5,UPI,2023-03-13
10250,James Hall,52,Brazil,Electronics,823.22,Net Banking,2023-03-13
22154,Emma Hall,36,India,Grocery,927.97,PayPal,2023-03-13
32690,Liam Clark,66,India,Electronics,829.37,Debit Card,2023-03-13
1679,Liam Hall,32,USA,Books,969.13,Debit Card,2023-03-13
43176,Elijah Walker,53,UK,Books,413.86,UPI,2023-03-13
7145,Ava White,43,Canada,Clothing,433.76,Net Banking,2023-03-13
1772,Oliver Clark,18,Germany,Sports,211.09,Debit Card,2023-03-13
4327,James Allen,48,India,Home & Kitchen,707.16,Cash on Delivery,2023-03-13
30984,Noah Lewis,57,USA,Sports,363.72,UPI,2023-03-13
23660,Sophia Harris,70,USA,Electronics,606.26,Cash on Delivery,2023-03-13
32640,James Hall,40,Japan,Home & Kitchen,657.35,Cash on Delivery,2023-03-13
26779,Sophia Clark,63,USA,Sports,386.43,Debit Card,2023-03-13
34503,Oliver Lewis,20,Japan,Electronics,251.55,Credit Card,2023-03-13
33019,Ava Allen,50,USA,Grocery,821.93,Net Banking,2023-03-13
22240,Sophia Harris,50,Mexico,Beauty,358.64,PayPal,2023-03-13
38142,Elijah Anderson,49,Japan,Clothing,558.83,Cash on Delivery,2023-03-13
42530,Emma Walker,62,India,Clothing,899.27,Debit Card,2023-03-13
36150,Sophia Hall,31,Canada,Sports,29.09,PayPal,2023-03-13
32039,Elijah White,47,Mexico,Sports,462.07,UPI,2023-03-13
24354,James Allen,60,USA,Grocery,432.42,Debit Card,2023-03-13
9086,Noah Anderson,26,Canada,Sports,91.9,Credit Card,2023-03-13
43491,Liam Harris,70,India,Sports,845.83,Debit Card,2023-03-13
16849,Oliver Clark,37,Brazil,Books,245.02,Net Banking,2023-03-13
21897,Ava Clark,67,Mexico,Electronics,832.68,Cash on Delivery,2023-03-13
8556,Sophia White,28,Germany,Toys,49.91,Cash on Delivery,2023-03-13
37189,Elijah Lewis,41,France,Beauty,861.65,Credit Card,2023-03-13
28913,Emma Allen,27,Canada,Electronics,386.66,PayPal,2023-03-13
27057,Sophia Rodriguez,53,USA,Beauty,399.97,UPI,2023-03-13
8938,Ava Clark,40,France,Books,469.46,UPI,2023-03-13
29184,Olivia Hall,34,Mexico,Toys,317.86,Net Banking,2023-03-13
28492,Isabella Harris,61,USA,Toys,436.95,Net Banking,2023-03-13
8576,Isabella Allen,46,Australia,Grocery,902.65,Debit Card,2023-03-13
34989,Olivia Rodriguez,41,Canada,Toys,95.83,Credit Card,2023-03-13
4813,Olivia White,28,Japan,Books,470.91,Net Banking,2023-03-13
7825,James Harris,58,France,Clothing,132.62,PayPal,2023-03-13
24895,Liam Clark,53,Mexico,Clothing,172.1,Cash on Delivery,2023-03-13
27654,Ava Clark,20,Brazil,Home & Kitchen,719.96,Net Banking,2023-03-13
46333,Liam Lewis,56,UK,Books,138.3,Debit Card,2023-03-13
29346,Liam Rodriguez,43,Canada,Sports,749.74,Net Banking,2023-03-13
18683,Isabella Harris,33,India,Home & Kitchen,378.61,Net Banking,2023-03-13
2388,Liam Rodriguez,59,USA,Electronics,183.29,Debit Card,2023-03-13
2053,Olivia Rodriguez,29,USA,Grocery,510.62,UPI,2023-03-13
41072,Noah Thompson,21,Japan,Toys,6.95,Credit Card,2023-03-13
11251,Oliver Harris,36,Canada,Sports,154.54,Credit Card,2023-03-13
16772,James White,37,Japan,Beauty,183.64,Credit Card,2023-03-13
47800,James Walker,68,Mexico,Clothing,122.84,Credit Card,2023-03-13
4937,James Allen,56,Mexico,Sports,713.6,Net Banking,2023-03-13
33747,Liam White,22,Germany,Grocery,614.5,Net Banking,2023-03-13
45164,Olivia Anderson,27,USA,Sports,394.54,UPI,2023-03-13
44832,Oliver Lewis,21,Germany,Toys,400.03,Debit Card,2023-03-13
18134,Sophia Walker,65,India,Books,420.74,Credit Card,2023-03-13
41183,Noah Lewis,31,India,Sports,441.29,Credit Card,2023-03-13
40486,Sophia Thompson,21,Mexico,Toys,509.38,Cash on Delivery,2023-03-13
40151,Emma Harris,58,Japan,Toys,335.9,Debit Card,2023-03-13
12003,Noah Lewis,18,Australia,Home & Kitchen,782.14,UPI,2023-03-13
49108,James Allen,57,Australia,Clothing,976.29,UPI,2023-03-14
18290,Oliver Lewis,66,Mexico,Beauty,613.54,Credit Card,2023-03-14
36313,James Allen,63,India,Clothing,556.79,PayPal,2023-03-14
236,Olivia Anderson,47,Canada,Books,570.5,Net Banking,2023-03-14
45945,James Thompson,63,USA,Beauty,913.26,PayPal,2023-03-14
24487,Olivia Walker,41,Germany,Toys,650.4,PayPal,2023-03-14
675,Liam Anderson,22,USA,Home & Kitchen,501.41,PayPal,2023-03-14
10613,Emma Allen,59,USA,Grocery,617.83,Cash on Delivery,2023-03-14
22810,Noah Rodriguez,25,Mexico,Home & Kitchen,624.92,Credit Card,2023-03-14
27517,Ava Anderson,47,Japan,Electronics,45.8,Debit Card,2023-03-14
